,Language,Model,BLEU1,BLEU2,BLEU3,BLEU4,parms,corpus
0,Spanish,Base,65.336,48.556,35.846,28.29,478672,114550
1,Spanish,Attention,71.209,57.435,45.27,36.956,544593,114550
2,Spanish,Deep Attention,72.299,58.727,46.777,38.362,643665,114550
3,French,Base,58.261,40.78,29.35,23.052,560455,162842
4,French,Attention,67.889,53.907,42.483,34.856,626376,162842
5,French,Deep Attention,69.058,55.411,44.059,36.338,725448,162842
6,Portugese,Base,64.503,48.221,36.353,29.31,539781,158723
7,Portugese,Attention,73.92,61.357,50.156,42.165,605702,158723
8,Portugese,Deep Attention,74.541,62.273,51.303,43.417,704774,158723
9,Italian,Base,62.758,46.85,36.379,29.542,765210,334008
10,Italian,Attention,72.786,60.997,51.073,43.221,831131,334008
11,Italian,Deep Attention,74.061,62.757,53.096,45.296,930203,334008
12,German,Base,61.709,42.844,30.862,24.54,635019,204544
13,German,Attention,68.164,51.383,39.427,32.279,700940,204544
14,German,Deep Attention,69.502,53.033,41.214,34.009,800012,204544
